5, r, 67, 19
31, U, 24, 68
99, U, 72, 64
67, f, 100, 77
44, y, 26, 16
71, B, 36, 64
50, f, 19, 58
17, i, 49, 86
87, M, 63, 98
3, r, 92, 45
41, q, 40, 12
72, l, 52, 60
38, l, 10, 77
69, I, 72, 44
92, a, 100, 85
83, g, 11, 12
33, F, 17, 84
41, P, 26, 27
61, q, 54, 21
93, v, 47, 90
86, M, 49, 49
54, d, 96, 97
42, C, 66, 36
91, K, 0, 52
55, t, 96, 15
26, c, 31, 73
85, u, 48, 95
25, T, 93, 6
53, g, 33, 28
67, D, 37, 39
34, x, 81, 84
28, G, 62, 72
55, K, 49, 38
92, w, 52, 29
54, e, 26, 69
92, Y, 99, 95
81, D, 69, 95
48, C, 20, 69
99, s, 8, 77
81, z, 98, 56
24, w, 38, 53
38, n, 68, 82
57, M, 9, 72
7, o, 19, 92
96, D, 88, 40
57, P, 39, 57
38, y, 76, 99
91, e, 6, 70
32, h, 2, 95
68, q, 11, 85
76, M, 93, 33
77, X, 98, 60
92, b, 54, 70
10, x, 56, 92
21, f, 80, 25
77, a, 51, 70
32, X, 58, 50
1, r, 56, 25
70, y, 70, 34
29, U, 29, 80
47, p, 18, 91
43, A, 28, 63
2, r, 82, 98
51, I, 6, 6
77, p, 80, 27
58, T, 75, 54
40, o, 93, 64
94, t, 23, 55
98, l, 93, 81
16, y, 27, 87
83, d, 16, 73
74, d, 71, 89
42, c, 65, 77
42, a, 64, 26
3, u, 98, 75
29, A, 23, 11
22, J, 57, 53
55, H, 64, 42
68, N, 44, 57
20, p, 79, 21
13, R, 33, 33
33, b, 49, 67
92, B, 13, 79
70, S, 7, 66
9, U, 63, 18
53, U, 31, 83
39, F, 57, 98
47, y, 64, 47
100, A, 12, 42
11, X, 98, 45
5, w, 5, 78
30, b, 74, 69
61, o, 62, 36
33, z, 14, 14
46, r, 61, 13
